,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Paris Saint-Germain,Ligue 1,25.1,Parc des Princes,Thomas Tuchel,"Jul 1, 2018",€882.55m
1,Olympique Lyon,Ligue 1,25.2,Groupama Stadium,Bruno Génésio,"Dec 24, 2015",€231.80m
2,AS Monaco,Ligue 1,24.3,Stade Louis-II,Leonardo Jardim,"Jul 1, 2014",€324.20m
3,LOSC Lille,Ligue 1,26.0,Decathlon Arena-Stade Pierre-Mauroy,Christophe Galtier,"Dec 29, 2017",€220.90m
4,Olympique Marseille,Ligue 1,26.7,Orange Vélodrome,Rudi Garcia,"Oct 20, 2016",€259.20m
5,OGC Nice,Ligue 1,24.3,Allianz Riviera,Patrick Vieira,"Jul 1, 2018",€235.60m
6,FC Girondins Bordeaux,Ligue 2,22.7,Matmut Atlantique,Gustavo Poyet,"Jan 20, 2018",€33.20m
7,Stade Rennais FC,Ligue 1,24.5,Roazhon Park,Sabri Lamouchi,"Nov 8, 2017",€320.30m
8,AS Saint-Étienne,Ligue 2,25.1,Stade Geoffroy-Guichard,Jean-Louis Gasset,"Dec 20, 2017",€39.00m
9,FC Nantes,Ligue 1,26.3,Stade de la Beaujoire,Miguel Cardoso,"Jun 13, 2018",€123.80m
10,FC Toulouse,Ligue 1,24.4,Stadium Municipal,Alain Casanova,"Jun 25, 2018",€78.85m
11,Montpellier HSC,Ligue 1,25.7,Stade de la Mosson,Michel Der Zakarian,"May 23, 2017",€115.40m
12,RC Strasbourg Alsace,Ligue 1,26.6,Stade de la Meinau,Thierry Laurey,"Jul 1, 2016",€98.55m
13,Nîmes Olympique,Ligue 2,25.4,Stade des Antonins,Bernard Blaquart,"Nov 23, 2015",€15.85m
14,Stade Reims,Ligue 1,24.6,Stade Auguste-Delaune,David Guion,"May 22, 2017",€95.10m
15,Angers SCO,Ligue 1,25.0,Stade Raymond Kopa,Stéphane Moulin,"Jul 1, 2011",€52.20m
16,EA Guingamp,Ligue 2,25.4,Stade du Roudourou,Antoine Kombouaré,"Jul 1, 2016",€21.55m
17,Amiens SC,Ligue 2,24.1,Stade Crédit Agricole la Licorne,Christophe Pélissier,"Dec 31, 2014",€22.20m
18,SM Caen,Ligue 2,25.7,Stade Michel-d'Ornano,Fabien Mercadal,"Jun 8, 2018",€23.55m
19,Dijon FCO,Ligue 2,25.8,Stade Gaston-Gérard,Olivier Dall'Oglio,"Jun 1, 2012",€19.85m
