,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Juventus FC,Serie A,27.0,Allianz Stadium,Massimiliano Allegri,"Jul 16, 2014",€420.70m
1,SSC Napoli,Serie A,26.2,Stadio Diego Armando Maradona,Maurizio Sarri,"Jun 11, 2015",€629.00m
2,Inter Milan,Serie A,28.5,Giuseppe Meazza,Luciano Spalletti,"Jun 9, 2017",€534.45m
3,AS Roma,Serie A,26.2,Olimpico di Roma,Eusebio Di Francesco,"Jun 13, 2017",€317.15m
4,SS Lazio,Serie A,27.2,Olimpico di Roma,Simone Inzaghi,"Jul 8, 2016",€274.15m
5,AC Milan,Serie A,27.0,Giuseppe Meazza,Vincenzo Montella,"Jun 28, 2016",€547.25m
6,ACF Fiorentina,Serie A,26.5,Artemio Franchi,Stefano Pioli,"Jul 1, 2017",€236.30m
7,Atalanta BC,Serie A,26.6,Gewiss Stadium,Gian Piero Gasperini,"Jun 14, 2016",€329.50m
8,UC Sampdoria,Serie A,26.6,Luigi Ferraris,Marco Giampaolo,"Jul 4, 2016",€71.45m
9,Torino FC,Serie A,24.6,Stadio Olimpico Grande Torino,Siniša Mihajlović,"May 25, 2016",€169.53m
10,Genoa CFC,Serie B,26.4,Luigi Ferraris,Ivan Juric,"Apr 10, 2017",€52.55m
11,US Sassuolo,Serie A,25.9,Mapei Stadium - Città del Tricolore,Cristian Bucchi,"Jun 20, 2017",€171.40m
12,Udinese Calcio,Serie A,25.4,Dacia Arena,Luigi Delneri,"Oct 3, 2016",€143.05m
13,Bologna FC 1909,Serie A,25.7,Stadio Renato Dall’Ara,Roberto Donadoni,"Oct 28, 2015",€136.10m
14,Cagliari Calcio,Serie B,25.9,Unipol Domus,Massimo Rastelli,"Jun 12, 2015",€32.80m
15,SPAL,Serie B,26.0,Paolo Mazza,Leonardo Semplici,"Dec 8, 2014",€16.28m
16,Benevento Calcio,Serie B,26.7,Ciro Vigorito,Marco Baroni,"Jul 1, 2016",€23.24m
17,Hellas Verona,Serie A,26.4,Marcantonio Bentegodi,Fabio Pecchia,"Jul 1, 2016",€84.85m
18,Chievo Verona,NULL,,Marcantonio Bentegodi,Rolando Maran,"Oct 19, 2014",NULL
19,FC Crotone,Serie C - Girone C,27.0,Ezio Scida,Davide Nicola,"Jul 1, 2016",€8.06m
