,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Manchester City,Premier League,26.8,Etihad Stadium,Pep Guardiola,"Jul 1, 2016",€1.05bn
1,Liverpool FC,Premier League,26.7,Anfield,Jürgen Klopp,"Oct 8, 2015",€879.00m
2,Chelsea FC,Premier League,25.5,Stamford Bridge,Antonio Conte,"Jul 1, 2016",€1.02bn
3,Tottenham Hotspur,Premier League,26.7,Tottenham Hotspur Stadium,Mauricio Pochettino,"Jul 1, 2014",€680.30m
4,Manchester United,Premier League,26.0,Old Trafford,José Mourinho,"Jul 1, 2016",€795.70m
5,Arsenal FC,Premier League,25.2,Emirates Stadium,Unai Emery,"Jul 1, 2018",€890.00m
6,Everton FC,Premier League,27.4,Goodison Park,Marco Silva,"May 31, 2018",€352.90m
7,Leicester City,Premier League,27.0,King Power Stadium,Claude Puel,"Oct 25, 2017",€443.10m
8,West Ham United,Premier League,28.2,London Stadium,Manuel Pellegrini,"Jul 1, 2018",€451.50m
9,AFC Bournemouth,Premier League,26.6,Vitality Stadium,Eddie Howe,"Oct 14, 2012",€243.70m
10,Southampton FC,Premier League,25.5,St Mary's Stadium,Mark Hughes,"Mar 14, 2018",€397.00m
11,Wolverhampton Wanderers,Premier League,26.2,Molineux Stadium,Nuno Espírito Santo,"Jul 1, 2017",€398.70m
12,Crystal Palace,Premier League,27.0,Selhurst Park,Roy Hodgson,"Sep 12, 2017",€309.95m
13,Fulham FC,Premier League,28.1,Craven Cottage,Slavisa Jokanovic,"Dec 27, 2015",€253.50m
14,Newcastle United,Premier League,27.4,St James' Park,Rafael Benítez,"Mar 11, 2016",€494.30m
15,Watford FC,Championship,26.3,Vicarage Road,Javi Gracia,"Jan 21, 2018",€129.55m
16,Burnley FC,Championship,25.1,Turf Moor,Sean Dyche,"Oct 30, 2012",€131.55m
17,Brighton & Hove Albion,Premier League,24.8,AMEX Stadium,Chris Hughton,"Dec 31, 2014",€358.70m
18,Huddersfield Town,Championship,26.7,John Smith's Stadium,David Wagner,"Nov 9, 2015",€28.25m
19,Cardiff City,Championship,25.5,Cardiff City Stadium,Neil Warnock,"Oct 5, 2016",€44.20m
