,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Juventus FC,Serie A,27.0,Allianz Stadium,Massimiliano Allegri,"Jul 16, 2014",€420.70m
1,SSC Napoli,Serie A,26.2,Stadio Diego Armando Maradona,Maurizio Sarri,"Jun 11, 2015",€629.00m
2,AS Roma,Serie A,26.2,Olimpico di Roma,Luciano Spalletti,"Jan 14, 2016",€317.15m
3,Inter Milan,Serie A,28.5,Giuseppe Meazza,Roberto Mancini,"Nov 14, 2014",€534.45m
4,AC Milan,Serie A,27.0,Giuseppe Meazza,Vincenzo Montella,"Jun 28, 2016",€547.25m
5,SS Lazio,Serie A,27.2,Olimpico di Roma,Marcelo Bielsa,"Jul 6, 2016",€274.15m
6,ACF Fiorentina,Serie A,26.5,Artemio Franchi,Paulo Sousa,"Jun 21, 2015",€236.30m
7,Torino FC,Serie A,24.6,Stadio Olimpico Grande Torino,Siniša Mihajlović,"May 25, 2016",€169.53m
8,Atalanta BC,Serie A,26.6,Gewiss Stadium,Gian Piero Gasperini,"Jun 14, 2016",€329.50m
9,US Sassuolo,Serie A,25.9,Mapei Stadium - Città del Tricolore,Eusebio Di Francesco,"Mar 3, 2014",€171.40m
10,UC Sampdoria,Serie A,26.6,Luigi Ferraris,Marco Giampaolo,"Jul 4, 2016",€71.45m
11,Genoa CFC,Serie B,26.4,Luigi Ferraris,Ivan Juric,"Jul 1, 2016",€52.55m
12,Udinese Calcio,Serie A,25.4,Dacia Arena,Giuseppe Iachini,"Jul 1, 2016",€143.05m
13,Bologna FC 1909,Serie A,25.7,Stadio Renato Dall’Ara,Roberto Donadoni,"Oct 28, 2015",€136.10m
14,Cagliari Calcio,Serie B,25.9,Unipol Domus,Massimo Rastelli,"Jun 12, 2015",€32.80m
15,FC Empoli,Serie A,25.3,Carlo Castellani,Giovanni Martusciello,"Jul 1, 2016",€103.30m
16,Delfino Pescara 1936,Serie C - Girone C,24.6,Adriatico,Massimo Oddo,"May 16, 2015",€9.38m
17,Chievo Verona,NULL,,Marcantonio Bentegodi,Rolando Maran,"Oct 19, 2014",NULL
18,Palermo FC,Serie B,25.6,"Comunale Renzo Barbera ""La Favorita""",Davide Ballardini,"Apr 12, 2016",€30.90m
19,FC Crotone,Serie C - Girone C,27.0,Ezio Scida,Davide Nicola,"Jul 1, 2016",€8.06m
